"","smokingrate","suiciderate","overdoserate","teenpregnancyrate","averagecrimerate","percentrepublican","percentcollege","povertyrate","ginicoefficient","infectionrate","retail","grocery","national.park","transport","work","residence"
"1",1.04011611422487,0.018413995073413,-0.541083686441501,1.29189199385954,0.8449946497969,-0.935699890905497,-0.987561173603655,1.33798442764964,0.60753088979467,-0.384239208375644,0.614664549206997,0.905330213011667,0.289387474102595,1.03462987640423,0.718251148901235,-0.954798070521184
"2",1.06877409468163,1.82956193907983,-0.74170359199233,0.285079507580506,1.95461233972348,-1.42893704270064,-0.307577690786862,0.282769904812552,-2.23916387299225,-0.460738081467687,-0.186194005781681,-0.622815820298807,0.267425031871595,-0.526498043613986,0.545464315910844,-0.549008890549681
"3",-0.478756849983569,0.622129976408885,0.181147973541484,0.421596454872579,0.771901578045891,-0.319153451161565,-0.363767354644458,0.49381280937997,0.196766209258302,-0.43623608154777,0.72907291420538,0.468717060637246,-0.281636023903419,0.347733591596214,0.545464315910844,-0.549008890549681
"4",1.44132784061955,0.420891315963728,-0.631362643939374,2.17925215125802,1.03458760041385,-0.81239060295671,-1.35705400630643,1.26763679279383,0.397372216031878,-0.429051498223078,1.98756492918759,1.5602499415733,1.65105889242463,1.53419081081006,1.58218531385319,-1.76637643046419
"5",-1.71105000962438,-1.23373766991868,-0.922261506988077,-0.687603741875515,0.177053695485204,1.03724871627508,0.32798115334849,0.0717270002451351,1.14725657468548,-0.41902190885243,-0.415010735778447,-0.295355956017991,-0.962471733064435,-0.464052926813257,-0.491256682031505,1.47993700930783
"6",-0.765336654551199,1.22584595774436,-0.521021695886418,-0.568151412994951,0.331347432270184,0.420702276531153,1.41689758777697,-0.983487522591952,-0.285643473697199,0.127348208735797,-0.529419100776829,-0.622815820298807,-0.391448235058421,-0.838723627617629,-0.664043515021897,0.668358649364829
"7",-1.3098382832297,-1.3008172234004,0.873286647691845,-1.5920285176855,-1.00553233398803,1.03724871627508,1.22653971806096,-0.491054078601311,1.43861291785662,0.687481129476318,-1.10146092576874,-1.16858226076683,-1.26994592429844,-1.08850409482054,-0.318469849041114,1.47993700930783
"8",-0.0775451235888878,-1.12193841411581,2.18734702904978,-0.158600571118732,0.11219294922151,0.297392988582367,0.0350702414370968,-1.30005187944308,-0.376393810094768,-0.193787181769204,-0.0717856407832987,-0.731969108392412,-0.259673581672418,-0.651388277215443,-0.145683016050722,0.262569469393325
"9",-0.851310595921488,-0.361703474656329,1.11403053435284,-0.568151412994951,3.09927977907333,3.38012518730202,4.16977190331436,0.880724801086902,3.17719830989428,0.493428736417398,-2.0167278457558,-0.950275684579623,-1.02835905975744,-1.33828456202346,-1.87355134595464,1.07414782933633
"10",-0.335466947699754,-0.272264070014037,0.0808380207660697,-0.158600571118732,0.14512225117077,-0.0725348752639924,-0.317947611354923,0.599334261663679,0.999190236352602,-0.192202816982596,-0.415010735778447,-0.513662532205202,-1.18209615537444,-1.02605897801981,-0.836830348012288,0.668358649364829
